"tmean","tnobs","n_reps","alpha","sizeclass","research_strategy","test_strategy","is_hacked","sigmean","mean_nobs","mean_eff","mean_eff_diff","mean_pvalue","size",".groups"
0.35,"50",3,0.005,"M","DefaultResearchStrategy","TTest","0",0.140171965606879,50,0.353571696460708,0.00357169646070782,0.191680975404919,"Large","drop"
0.55,"25",1,0.05,"S","DefaultResearchStrategy","TTest","0",0.4858,25,0.5609389814,0.0109389813999999,0.1537191092,"Large","drop"
0.15,"10",5,0.05,"M","DefaultResearchStrategy","TTest","0",0.2274,10,0.7014245978,0.5514245978,0.2148216944,"Small","drop"
0.15,"50",3,0.05,"M","DefaultResearchStrategy","TTest","1",0.343331333733253,55.2371525694861,0.286171422315537,0.136171422315537,0.233811424915017,"Large","drop"
0.7,"20",3,0.005,"L","DefaultResearchStrategy","TTest","0",0.547,20,0.976582214,0.276582214,0.0158274676,"Small","drop"
0.25,"10",1,0.05,"M","DefaultResearchStrategy","TTest","0",0.0734,10,0.2629844668,0.0129844668,0.456163399,"Small","drop"
1,"20",3,0.05,"L","DefaultResearchStrategy","TTest","1",1,20.412,1.0635239024,0.0635239024000001,0.0080346044,"Small","drop"
0,"10",5,0.05,"M","DefaultResearchStrategy","TTest","0",0.1278,10,0.5534556098,0.5534556098,0.3198881608,"Small","drop"
0.8,"10",1,0.005,"M","DefaultResearchStrategy","TTest","1",0.6528,17.2974,1.1316589722,0.3316589722,0.017982519,"Small","drop"
0.8,"50",2,0.05,"M","DefaultResearchStrategy","TTest","0",0.977,50,0.8093204382,0.00932043819999995,0.0047592578,"Large","drop"
0.3,"25",1,5e-04,"S","DefaultResearchStrategy","TTest","1",0.0638,31.9156,0.5197615656,0.2197615656,0.137003365,"Large","drop"
0.65,"100",1,0.05,"L","DefaultResearchStrategy","TTest","0",0.9958,100,0.6550840446,0.0050840446,0.0012458926,"Large","drop"
0.75,"25",4,5e-04,"S","DefaultResearchStrategy","TTest","0",0.1738,25,0.7708107956,0.0208107956,0.0591873088,"Large","drop"
0.65,"100",5,5e-04,"L","DefaultResearchStrategy","TTest","1",0.987,100.3944,0.6735468294,0.0235468294,9.26302e-05,"Large","drop"
0.2,"5",5,5e-04,"S","DefaultResearchStrategy","TTest","1",0.0642,12.3402,1.2001316398,1.0001316398,0.035749495,"Small","drop"
0.15,"50",2,0.005,"M","DefaultResearchStrategy","TTest","0",0.0218,50,0.1570163582,0.00701635819999999,0.4122286872,"Large","drop"
0.55,"50",4,0.05,"M","DefaultResearchStrategy","TTest","1",0.9684,50.875,0.5973414828,0.0473414827999999,0.0142288626,"Large","drop"
0.95,"50",1,5e-04,"M","DefaultResearchStrategy","TTest","1",0.996,50.4138,0.9916363308,0.0416363308,6.1999e-05,"Large","drop"
0.65,"25",1,5e-04,"S","DefaultResearchStrategy","TTest","0",0.0856,25,0.6575135214,0.00751352139999995,0.1036253886,"Large","drop"
0.55,"50",3,5e-04,"M","DefaultResearchStrategy","TTest","1",0.619876024795041,55.1719656068786,0.691918289342132,0.141918289342132,0.00635693381323735,"Large","drop"
0.25,"20",4,0.05,"L","DefaultResearchStrategy","TTest","1",0.8798,25.1064,0.678691128,0.428691128,0.0336845604,"Small","drop"
0.15,"25",2,0.05,"S","DefaultResearchStrategy","TTest","0",0.0744,25,0.151667618,0.00166761799999998,0.4574469204,"Large","drop"
0.55,"5",3,0.005,"S","DefaultResearchStrategy","TTest","1",0.5816,13.2696,1.3379468176,0.7879468176,0.0135468664,"Small","drop"
0.4,"20",1,0.005,"L","DefaultResearchStrategy","TTest","0",0.0544,20,0.4146715346,0.0146715346,0.3028755362,"Small","drop"
0.4,"50",4,0.005,"M","DefaultResearchStrategy","TTest","1",0.5602,54.9486,0.5390150268,0.1390150268,0.032462984,"Large","drop"
